subject,age,gender,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,include_exclude_bfi,mean_a,mean_c,mean_e,mean_n,mean_o,include_exclude_bfi_mean,check_mean_a,check_mean_c,check_mean_e,check_mean_n,check_mean_o,mean1,mean2,SD,D,D_check,include_exclude_iat,exclude_duplicate_data,exclude_participant
365480,21,female,6,6,6,6,6,5,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,3,6,4,include,5.444444444444445,NA,NA,NA,5,include,Valid,NA,NA,NA,Valid,833.375,721.15,369.66232139987585,-0.3035878787294704,within range,include,include,include
365691,32,female,3,5,5,5,3,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,5,5,5,include,4.444444444444445,NA,NA,NA,4.9,include,Valid,NA,NA,NA,Valid,717.275,667.175,248.31859998969134,-0.20175693646017603,within range,include,include,include
365766,20,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,2,3,5,3,4,2,4,3,5,5,3,4,2,4,2,3,4,4,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,3.3333333333333335,3.75,2.5,NA,include,NA,Valid,Valid,Valid,NA,908.8,678.2,295.59641272465785,-0.7801177215732966,within range,include,include,include
366258,25,male,5,5,6,5,6,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,6,5,3,include,5.333333333333333,NA,NA,NA,4.9,include,Valid,NA,NA,NA,Valid,1208.35,855.3,542.1814168666408,-0.6511658072686008,within range,include,include,include
372836,26,female,2,5,4,5,5,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,4,5,6,include,4.111111111111111,NA,NA,NA,5.5,include,Valid,NA,NA,NA,Valid,1097.15,909.2,591.920768176214,-0.3175256049540191,within range,include,include,include
388154,19,female,2,5,6,5,3,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,3,5,5,include,4.444444444444445,NA,NA,NA,4.7,include,Valid,NA,NA,NA,Valid,750.9,531.7,273.20410486148495,-0.8023305510403469,within range,include,include,include
491808,22,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,6,5,2,3,5,3,2,2,3,3,2,2,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5.444444444444445,2.875,3.125,NA,include,NA,Valid,Valid,Valid,NA,686.8,741.25,290.08843624028884,0.18770138067446956,within range,include,include,include
418670,17,male,4,4,5,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,5,6,4,include,4,NA,NA,NA,5,include,Valid,NA,NA,NA,Valid,585.55,577.3375,147.3170229542426,-0.05574712165172399,within range,include,include,include
394075,21,female,3,5,6,5,3,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,3,5,4,include,5,NA,NA,NA,5.1,include,Valid,NA,NA,NA,Valid,732.05,765.85,342.8331682210649,0.09859022735573014,within range,include,include,include
401021,20,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,2,6,6,4,5,4,3,3,5,3,2,3,4,5,6,5,6,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4.333333333333333,3.375,4.5,NA,include,NA,Valid,Valid,Valid,NA,684,760.0125,318.4896648191879,0.23866551538855635,within range,include,include,include
